name,price,status,shipping,free_returns,items_sold
LEGO Creator 3in1 Space Shuttle Adventure 31117 #8213,3799,Brand New,599,True,
LEGO Technic Bugatti Chiron 42083 Race Car Model #8692,21295,,499,False,
LEGO Speed Champions Ferrari 488 GTE 75888 #9742,10995,Brand New,599,True,
LEGO Classic Large Creative Brick Box 10698 #2121,7295,Pre-owned,599,True,
LEGO Technic Land Rover Defender 42110 #3725,18995,Brand New,0,True,408
LEGO Duplo Classic Brick Box 10913 Building Toy #7141,12249,Pre-owned,499,True,
LEGO Architecture Statue of Liberty 21042 #3868,3299,Brand New,599,True,
LEGO Minecraft The Nether Fortress 21122 #8555,17595,,0,False,5
LEGO City Deep Space Rocket and Launch Control 60228 #9955,5200,,0,False,164
LEGO Technic Chevrolet Corvette 42093 #5097,12895,Pre-owned,399,True,61
LEGO Disney Princess Cinderella's Castle 43222 #6881,15995,Brand New,0,True,169
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #1132,15600,Brand New,599,True,
LEGO Classic Large Creative Brick Box 10698 #6772,6849,Brand New,0,False,
LEGO Batman Movie The Joker Manor 70922 #2591,24300,,399,True,
LEGO Technic Bugatti Chiron 42083 Race Car Model #5835,9599,Pre-owned,0,True,403
LEGO City Fire Station 60215 #9221,24595,Pre-owned,0,True,496
LEGO Creator 3in1 Space Shuttle Adventure 31117 #8673,3149,Pre-owned,599,False,346
LEGO Technic Bugatti Chiron 42083 Race Car Model #7464,1595,Brand New,0,True,189
LEGO Disney Princess Cinderella's Castle 43222 #7242,22295,Brand New,599,True,242
LEGO Classic Large Creative Brick Box 10698 #4626,17700,Brand New,399,False,167
LEGO Creator 3in1 Space Shuttle Adventure 31117 #3290,2300,,399,True,
LEGO Ninjago City Gardens 71741 Building Kit #8432,10699,Brand New,599,False,
LEGO Star Wars Millennium Falcon 75257 #7686,8300,Brand New,0,True,
LEGO Duplo Classic Brick Box 10913 Building Toy #2627,18795,Brand New,599,True,32
LEGO Friends Heartlake City Grand Hotel 41684 #3001,22999,Brand New,599,True,
LEGO Star Wars The Mandalorian Battle Pack 75267 #6464,7449,Brand New,0,True,
LEGO Disney Princess Cinderella's Castle 43222 #4538,22049,,0,False,
LEGO Harry Potter Hogwarts Castle 71043 #9850,7649,Brand New,599,True,68
LEGO Minecraft The Nether Fortress 21122 #6304,1649,,0,True,
LEGO Ideas Ship in a Bottle 92177 #2041,13399,,499,False,
LEGO Classic Large Creative Brick Box 10698 #1710,19895,,599,True,123
LEGO Marvel Avengers Compound Battle 76131 #2768,13799,Brand New,0,True,
LEGO Harry Potter Hogwarts Castle 71043 #5505,17195,,499,False,117
LEGO Creator 3in1 Space Shuttle Adventure 31117 #2874,23049,,399,True,87
LEGO Ninjago City Gardens 71741 Building Kit #7815,19800,,399,True,341
LEGO Harry Potter Hogwarts Castle 71043 #8770,2900,Brand New,0,True,50
LEGO Harry Potter Hogwarts Castle 71043 #1982,16295,Brand New,0,True,171
LEGO Ideas Ship in a Bottle 92177 #1842,8595,,0,False,
LEGO City Deep Space Rocket and Launch Control 60228 #8900,6900,,499,True,59
LEGO Disney Princess Cinderella's Castle 43222 #4705,21899,Brand New,499,False,
LEGO Classic Large Creative Brick Box 10698 #5381,1949,,599,True,472
LEGO City Police Station 60316 Building Kit #3972,23449,Brand New,599,True,
LEGO Technic Bugatti Chiron 42083 Race Car Model #9691,6799,,399,True,81
LEGO Ideas Ship in a Bottle 92177 #6314,21000,Brand New,0,True,
LEGO City Deep Space Rocket and Launch Control 60228 #2336,8199,Brand New,399,True,114
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #4531,20500,,399,True,174
LEGO City Fire Station 60215 #6053,2349,,499,True,4
LEGO Friends Heartlake City Grand Hotel 41684 #3248,20795,,0,True,128
LEGO Architecture Statue of Liberty 21042 #3116,10949,Brand New,499,False,
LEGO Ninjago City Gardens 71741 Building Kit #1693,12300,,0,True,110
LEGO Technic Chevrolet Corvette 42093 #7843,8600,,0,True,159
LEGO Technic Chevrolet Corvette 42093 #6928,3499,Brand New,0,True,
LEGO Ninjago City Gardens 71741 Building Kit #6083,20295,Pre-owned,0,True,
LEGO City Fire Station 60215 #9355,6195,,599,False,
LEGO Creator 3in1 Space Shuttle Adventure 31117 #3399,7749,Pre-owned,499,True,
LEGO Architecture Statue of Liberty 21042 #9095,13099,Brand New,499,False,326
LEGO Batman Movie The Joker Manor 70922 #6179,5099,Brand New,399,True,324
LEGO Disney Princess Cinderella's Castle 43222 #1920,10200,,399,True,20
LEGO Ideas Central Perk 21319 Friends TV Show #2257,17700,Brand New,499,False,
LEGO Technic Land Rover Defender 42110 #4084,9499,Brand New,0,True,231
LEGO Technic Chevrolet Corvette 42093 #2381,14149,Brand New,0,False,
LEGO Duplo Classic Brick Box 10913 Building Toy #7108,24695,,399,True,
LEGO Batman Movie The Joker Manor 70922 #6482,2895,Brand New,499,False,198
LEGO Ideas Ship in a Bottle 92177 #3463,9700,Brand New,599,True,470
LEGO Batman Movie The Joker Manor 70922 #7421,4500,,499,True,
LEGO City Deep Space Rocket and Launch Control 60228 #9624,3599,Brand New,0,True,
LEGO Friends Heartlake City Grand Hotel 41684 #6598,20899,Pre-owned,0,True,80
LEGO Creator 3in1 Space Shuttle Adventure 31117 #9317,20900,Brand New,0,False,153
LEGO Harry Potter Hogwarts Castle 71043 #3658,5849,Brand New,399,True,
LEGO Technic Land Rover Defender 42110 #5668,20499,Pre-owned,499,True,
LEGO Duplo Classic Brick Box 10913 Building Toy #8218,13095,,499,False,
LEGO Classic Large Creative Brick Box 10698 #3267,23595,Brand New,599,True,
LEGO Technic Chevrolet Corvette 42093 #9452,22900,,0,True,
LEGO Marvel Avengers Compound Battle 76131 #2502,24549,,0,True,14
LEGO City Fire Station 60215 #7126,7299,Brand New,0,True,
LEGO Technic Chevrolet Corvette 42093 #6493,21449,Pre-owned,0,True,
LEGO Technic Chevrolet Corvette 42093 #8685,12600,Brand New,0,True,39
LEGO Creator 3in1 Space Shuttle Adventure 31117 #5720,7295,Brand New,0,True,164
LEGO Technic Bugatti Chiron 42083 Race Car Model #2816,22699,Brand New,499,True,
LEGO Technic Chevrolet Corvette 42093 #3352,8699,Brand New,499,True,147
LEGO Architecture Statue of Liberty 21042 #2402,14695,Brand New,499,False,
LEGO Ninjago City Gardens 71741 Building Kit #8702,2399,,0,False,
LEGO Duplo Classic Brick Box 10913 Building Toy #4950,19900,Brand New,599,True,69
LEGO Creator Expert Roller Coaster 10261 #6546,22049,Brand New,399,False,
LEGO Harry Potter Hogwarts Castle 71043 #2033,19599,Brand New,0,True,
LEGO Speed Champions Ferrari 488 GTE 75888 #6080,14399,Brand New,399,True,
LEGO Ideas Central Perk 21319 Friends TV Show #6848,23200,Brand New,0,True,95
LEGO Ninjago City Gardens 71741 Building Kit #8204,24199,,0,True,355
LEGO City Fire Station 60215 #5369,21700,Brand New,399,True,
LEGO Creator Expert Roller Coaster 10261 #5813,9400,Brand New,0,False,79
LEGO Classic Large Creative Brick Box 10698 #7981,5499,,399,True,91
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #1939,3199,,499,False,
LEGO Harry Potter Hogwarts Castle 71043 #8179,2049,Brand New,0,False,93
LEGO Disney Princess Cinderella's Castle 43222 #1530,16649,Brand New,399,True,
LEGO Disney Princess Cinderella's Castle 43222 #3255,14795,,0,False,
LEGO City Police Station 60316 Building Kit #4048,13999,Brand New,0,True,67
LEGO Friends Heartlake City Grand Hotel 41684 #5678,18999,Pre-owned,0,True,19
LEGO Architecture Statue of Liberty 21042 #8292,3495,Brand New,0,False,34
LEGO Ideas Central Perk 21319 Friends TV Show #3580,19449,,499,True,
LEGO Minecraft The Nether Fortress 21122 #9094,1895,Brand New,499,True,
LEGO Classic Large Creative Brick Box 10698 #2412,2895,,599,False,135
LEGO Marvel Avengers Compound Battle 76131 #2208,4495,Brand New,0,True,239
LEGO Harry Potter Hogwarts Castle 71043 #3981,20849,,499,True,
LEGO Ideas Central Perk 21319 Friends TV Show #3697,5395,Brand New,0,True,486
LEGO Technic Bugatti Chiron 42083 Race Car Model #5105,6295,Pre-owned,599,True,
LEGO City Fire Station 60215 #3762,16349,Pre-owned,599,False,369
LEGO Disney Princess Cinderella's Castle 43222 #1674,22300,Brand New,0,False,395
LEGO Batman Movie The Joker Manor 70922 #4453,20899,Brand New,599,True,255
LEGO Batman Movie The Joker Manor 70922 #5949,13549,Brand New,399,True,
LEGO Architecture Statue of Liberty 21042 #8202,11899,,0,True,311
LEGO Technic Chevrolet Corvette 42093 #6231,19995,,0,True,
LEGO Speed Champions Ferrari 488 GTE 75888 #4960,13100,,399,True,
LEGO Ideas Central Perk 21319 Friends TV Show #7293,23399,Pre-owned,0,True,479
LEGO Friends Heartlake City Grand Hotel 41684 #3610,13999,,0,True,24
LEGO City Fire Station 60215 #8491,7349,Brand New,0,True,73
LEGO Classic Large Creative Brick Box 10698 #8710,8500,Brand New,399,True,452
LEGO Ninjago City Gardens 71741 Building Kit #6995,2399,Brand New,499,False,100
LEGO Technic Bugatti Chiron 42083 Race Car Model #7329,14199,Brand New,0,False,
LEGO Harry Potter Hogwarts Castle 71043 #2584,11295,,499,True,
LEGO Classic Large Creative Brick Box 10698 #9341,11400,Brand New,0,True,86
LEGO City Fire Station 60215 #8487,5049,,499,True,84
LEGO Disney Princess Cinderella's Castle 43222 #6511,14199,Brand New,499,True,244
LEGO Speed Champions Ferrari 488 GTE 75888 #2795,11895,Brand New,599,False,153
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #4728,19600,Brand New,399,True,162
