name,price,status,shipping,free_returns,items_sold
Nike React Element 55 Black Anthracite Men's,15300,Brand New,0,True,
Nike Air Zoom Structure 24 Running Shoe,20295,Brand New,0,True,
Nike Jordan 1 Retro High OG Chicago,23499,Pre-owned,0,False,
Nike Air Force 1 Shadow Women's Pastel Pink,12695,Brand New,0,True,
Nike Air Force 1 Shadow Women's Pastel Pink,15695,Brand New,0,True,
Nike Air Max 97 Silver Bullet Men's Size 10.5,20199,Pre-owned,799,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,29195,Brand New,799,True,
Nike SB Dunk Low Pro Skateboarding Shoes,25799,Pre-owned,0,True,165
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,17195,Pre-owned,799,True,150
Nike Air Max 97 Silver Bullet Men's Size 10.5,29699,Pre-owned,599,False,
Nike Cortez Basic Leather White Men's,7899,Pre-owned,0,True,237
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,16195,Brand New,799,False,72
Nike Blazer Mid '77 Vintage Men's Shoes White,11095,Pre-owned,799,False,
Nike Air Zoom Structure 24 Running Shoe,17199,Brand New,799,True,185
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,20199,Brand New,0,True,
Nike Air Zoom Structure 24 Running Shoe,6099,Brand New,599,False,
Nike Dunk Low Panda Black White Men's,11500,Pre-owned,0,False,
Nike Kyrie 8 Infinity Basketball Shoe Men's,24699,Pre-owned,0,True,
Nike Dunk Low Panda Black White Men's,12495,Brand New,0,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,16500,Pre-owned,799,True,
Nike Kyrie 8 Infinity Basketball Shoe Men's,23399,Brand New,599,True,
Nike Dunk Low Panda Black White Men's,5495,Brand New,0,True,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,8995,Pre-owned,799,False,
Nike React Infinity Run Flyknit 2 Running Shoe,9699,Brand New,799,True,
Nike Metcon 7 Training Shoes Men's Size 10,15895,Brand New,0,True,143
Nike Jordan 1 Retro High OG Chicago,19600,Pre-owned,0,True,
Nike Kyrie 8 Infinity Basketball Shoe Men's,7895,Brand New,599,False,201
Nike Dunk Low Panda Black White Men's,13895,Brand New,0,True,44
Nike Air Max 270 React Triple Black Size 11,12900,Pre-owned,599,True,
Nike Air Max 270 React Triple Black Size 11,17995,Brand New,0,False,
Nike Air Max 97 Silver Bullet Men's Size 10.5,21199,Pre-owned,0,False,
Nike React Infinity Run Flyknit 2 Running Shoe,12995,Pre-owned,0,True,
Nike Air Max 270 React Triple Black Size 11,9895,Pre-owned,799,False,
Nike Kyrie 8 Infinity Basketball Shoe Men's,17400,Brand New,0,True,
Nike Air Force 1 Shadow Women's Pastel Pink,10699,Brand New,0,False,290
Nike Air Max 97 Silver Bullet Men's Size 10.5,18999,Brand New,0,True,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,25900,Brand New,0,False,53
Nike Air VaporMax Plus Triple Black Sneakers,12500,Brand New,599,True,
Nike Dunk Low Panda Black White Men's,24700,Pre-owned,599,False,85
Nike Air Max 270 React Triple Black Size 11,24900,Pre-owned,0,True,
Nike Air Zoom Structure 24 Running Shoe,18600,Brand New,599,True,
Nike React Element 55 Black Anthracite Men's,27999,Brand New,0,False,
Nike Air Max 270 React Triple Black Size 11,22800,Pre-owned,0,True,127
Nike Air Zoom Pegasus 39 Men's Running Shoes,17400,Pre-owned,599,False,
Nike Jordan 1 Retro High OG Chicago,21100,Brand New,599,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,19700,Brand New,799,True,33
Nike Air Zoom Pegasus 39 Men's Running Shoes,10495,Pre-owned,799,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,18999,Pre-owned,799,True,
Nike Dunk Low Panda Black White Men's,20995,Brand New,0,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,29495,Pre-owned,0,True,
Nike Jordan 1 Retro High OG Chicago,21695,Brand New,0,True,
Nike Air Zoom Pegasus 39 Men's Running Shoes,20995,Pre-owned,799,True,
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,17100,Pre-owned,0,False,
Nike Free RN 5.0 Men's Running Shoe Size 9,25800,Brand New,0,False,
Nike Air Zoom Pegasus 39 Men's Running Shoes,7199,Brand New,0,True,
Nike Air Max 270 React Triple Black Size 11,14600,Pre-owned,0,True,
Nike Cortez Basic Leather White Men's,23300,Pre-owned,799,False,
Nike Dunk Low Panda Black White Men's,8400,Pre-owned,799,True,
Nike Air Max 270 React Triple Black Size 11,11295,Brand New,0,True,14
Nike Blazer Mid '77 Vintage Men's Shoes White,10199,Pre-owned,0,False,152
Nike Air Max 90 Black Running Shoes Men's,24900,Brand New,799,True,
Nike Air Zoom Structure 24 Running Shoe,6799,Brand New,599,True,
Nike Metcon 7 Training Shoes Men's Size 10,15695,Pre-owned,0,False,
Nike Metcon 7 Training Shoes Men's Size 10,6600,Brand New,0,True,
Nike React Element 55 Black Anthracite Men's,12299,Pre-owned,799,False,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,18699,Pre-owned,599,True,
Nike React Element 55 Black Anthracite Men's,28400,Pre-owned,599,False,
Nike SB Dunk Low Pro Skateboarding Shoes,23500,Brand New,0,True,
Nike Kyrie 8 Infinity Basketball Shoe Men's,20599,Brand New,599,True,
Nike Air Max 270 React Triple Black Size 11,22800,Pre-owned,799,True,268
Nike Air Force 1 Shadow Women's Pastel Pink,9195,Pre-owned,599,True,
Nike SB Dunk Low Pro Skateboarding Shoes,11899,Brand New,599,True,
Nike React Element 55 Black Anthracite Men's,14100,Brand New,0,True,
Nike Dunk Low Panda Black White Men's,27799,Brand New,0,True,
Nike Air VaporMax Plus Triple Black Sneakers,6095,Brand New,799,True,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,25499,Brand New,0,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,11800,Pre-owned,599,True,258
Nike Air Max 90 Black Running Shoes Men's,9400,Pre-owned,0,False,
Nike Blazer Mid '77 Vintage Men's Shoes White,24795,Brand New,0,False,
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,12399,Brand New,0,False,189
Nike Air Max 97 Silver Bullet Men's Size 10.5,24600,Pre-owned,0,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,10899,Brand New,0,True,1
Nike Air Zoom Pegasus 39 Men's Running Shoes,26699,Brand New,0,True,
Nike SB Dunk Low Pro Skateboarding Shoes,17400,Pre-owned,599,True,
Nike React Element 55 Black Anthracite Men's,15499,Brand New,799,True,
Nike React Element 55 Black Anthracite Men's,8399,Brand New,0,True,223
Nike Air Max 270 React Triple Black Size 11,10995,Brand New,599,False,
Nike Kyrie 8 Infinity Basketball Shoe Men's,11800,Brand New,0,True,
Nike Air Max 270 React Triple Black Size 11,7600,Brand New,799,True,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,14000,Brand New,599,False,
Nike Jordan 1 Retro High OG Chicago,8999,Brand New,0,True,
Nike Jordan 1 Retro High OG Chicago,23100,Brand New,799,True,
Nike React Infinity Run Flyknit 2 Running Shoe,5695,Brand New,0,True,
Nike Air Max 270 React Triple Black Size 11,8000,Brand New,0,True,
Nike Cortez Basic Leather White Men's,22499,Brand New,599,True,
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,28099,Brand New,0,True,
Nike Air Max 90 Black Running Shoes Men's,29095,Brand New,0,False,
Nike Air Force 1 Low White Men's Sneakers Size 10,14699,Brand New,0,True,
Nike Air Force 1 Shadow Women's Pastel Pink,12095,Pre-owned,0,True,
Nike SB Dunk Low Pro Skateboarding Shoes,27499,Brand New,0,True,
Nike Air Max 270 React Triple Black Size 11,15600,Pre-owned,0,True,196
Nike Cortez Basic Leather White Men's,17199,Brand New,599,True,
Nike React Infinity Run Flyknit 2 Running Shoe,5595,Pre-owned,0,True,
Nike Air Max 97 Silver Bullet Men's Size 10.5,18495,Pre-owned,0,True,
Nike Air VaporMax Plus Triple Black Sneakers,11799,Brand New,0,False,
Nike React Infinity Run Flyknit 2 Running Shoe,10999,Brand New,599,True,181
Nike Metcon 7 Training Shoes Men's Size 10,8599,Pre-owned,799,True,
Nike Air Max 90 Black Running Shoes Men's,7200,Pre-owned,0,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,13399,Pre-owned,0,True,
Nike Air Max 90 Black Running Shoes Men's,5400,Pre-owned,0,True,
Nike Jordan 1 Retro High OG Chicago,14499,Brand New,0,True,
Nike Air Max 270 React Triple Black Size 11,29800,Brand New,799,True,90
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,22699,Brand New,0,True,
Nike Blazer Mid '77 Vintage Men's Shoes White,8100,Brand New,799,True,94
Nike Free RN 5.0 Men's Running Shoe Size 9,28499,Pre-owned,0,False,
Nike Jordan 1 Retro High OG Chicago,10995,Brand New,0,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,11600,Pre-owned,0,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,6195,Brand New,799,True,
Nike Air Zoom Pegasus 39 Men's Running Shoes,13899,Brand New,0,False,296
Nike Air VaporMax Plus Triple Black Sneakers,9095,Brand New,0,True,
Nike Air Force 1 Shadow Women's Pastel Pink,29200,Brand New,599,True,
Nike Jordan 1 Retro High OG Chicago,18900,Brand New,799,True,221
Nike React Infinity Run Flyknit 2 Running Shoe,20495,Pre-owned,0,True,
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,15399,Pre-owned,599,True,
Nike Dunk Low Panda Black White Men's,6195,Pre-owned,799,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,15800,Brand New,799,True,
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,9299,Brand New,0,False,
Nike Air Zoom Pegasus 39 Men's Running Shoes,16995,Brand New,0,False,
Nike Air Zoom Pegasus 39 Men's Running Shoes,14300,Brand New,0,True,
Nike Air Force 1 Shadow Women's Pastel Pink,10695,Pre-owned,0,True,
Nike Cortez Basic Leather White Men's,25599,Brand New,0,True,199
Nike SB Dunk Low Pro Skateboarding Shoes,29699,Brand New,0,False,
Nike Air Zoom Pegasus 39 Men's Running Shoes,28099,Brand New,0,True,
Nike React Infinity Run Flyknit 2 Running Shoe,29700,Pre-owned,0,True,
Nike SB Dunk Low Pro Skateboarding Shoes,10099,Pre-owned,599,True,
Nike Air Zoom Pegasus 39 Men's Running Shoes,19195,Pre-owned,599,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,25099,Pre-owned,799,True,
Nike Air Max 270 React Triple Black Size 11,19499,Pre-owned,0,True,
Nike Blazer Mid '77 Vintage Men's Shoes White,27199,Brand New,799,True,197
Nike Air Max 97 Silver Bullet Men's Size 10.5,19599,Brand New,0,True,
Nike Air Max 270 React Triple Black Size 11,20799,Brand New,0,False,170
Nike Air VaporMax Plus Triple Black Sneakers,6199,Brand New,599,True,
Nike Blazer Mid '77 Vintage Men's Shoes White,12895,Brand New,0,True,
Nike Kyrie 8 Infinity Basketball Shoe Men's,24795,Brand New,799,True,
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,28295,Brand New,599,True,
Nike Jordan 1 Retro High OG Chicago,12899,Pre-owned,799,True,269
Nike Air Force 1 Low White Men's Sneakers Size 10,9300,Pre-owned,0,True,
Nike Air Max 90 Black Running Shoes Men's,28495,Pre-owned,599,True,238
Nike Air Zoom Pegasus 39 Men's Running Shoes,21100,Brand New,0,True,251
Nike Kyrie 8 Infinity Basketball Shoe Men's,9495,Pre-owned,599,True,
Nike Jordan 1 Retro High OG Chicago,12100,Brand New,0,True,
Nike Air VaporMax Plus Triple Black Sneakers,21400,Pre-owned,599,False,
Nike Air Force 1 Low White Men's Sneakers Size 10,17000,Pre-owned,0,True,130
Nike Blazer Mid '77 Vintage Men's Shoes White,23199,Brand New,799,False,
Nike Air Force 1 Shadow Women's Pastel Pink,10495,Brand New,799,True,4
Nike Cortez Basic Leather White Men's,19299,Pre-owned,599,True,
Nike Jordan 1 Retro High OG Chicago,13595,Brand New,599,True,
Nike Air Max 270 React Triple Black Size 11,18100,Brand New,799,True,72
Nike Air Force 1 Low White Men's Sneakers Size 10,21695,Brand New,599,False,
Nike Air Max 90 Black Running Shoes Men's,19899,Pre-owned,0,True,114
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,21295,Brand New,599,True,
Nike Blazer Mid '77 Vintage Men's Shoes White,7395,Pre-owned,599,True,172
Nike Jordan 1 Retro High OG Chicago,10595,Pre-owned,599,False,
